"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,36300.00,157.00,122.00,123.00,225.00,759.00,132.00,114.00,"Delta Air Lines Inc.","DL","DCA","MCO",7,"715",1,1995,1,2,2,"F",
0.00,1.00,36924.00,141.00,98.00,0.00,0.00,205.00,52.00,37.00,"US Airways Inc.","US","DCA","PIT",6,"655",1,1995,1,2,1,"F",
0.00,1.00,23850.00,98.00,79.00,0.00,80.00,719.00,238.00,204.00,"US Airways Inc.","US","DCA","STL",6,"603",1,1995,1,2,2,"F",
0.00,1.00,35000.00,151.00,31.00,0.00,100.00,814.00,127.00,116.00,"US Airways Inc.","US","DCA","TPA",7,"715",1,1995,1,2,2,"F",
0.00,1.00,36750.00,163.00,89.00,0.00,0.00,358.00,146.00,120.00,"Markair Inc.","BF","DEN","AMA",6,"617",1,1995,1,2,1,"F",
0.00,3.00,189120.00,612.00,380.00,3802.00,3250.00,1208.00,480.00,412.00,"Delta Air Lines Inc.","DL","DEN","ATL",6,"625",1,1995,1,2,3,"F",
0.00,1.00,31800.00,126.00,93.00,1613.00,325.00,769.00,126.00,101.00,"United Air Lines Inc.","UA","DEN","AUS",6,"619",1,1995,1,2,2,"F",
0.00,1.00,31800.00,126.00,97.00,740.00,2265.00,642.00,118.00,102.00,"United Air Lines Inc.","UA","DEN","BOI",6,"619",1,1995,1,2,2,"F",
0.00,1.00,31800.00,126.00,38.00,1810.00,475.00,705.00,104.00,92.00,"United Air Lines Inc.","UA","DEN","CID",6,"619",1,1995,1,2,2,"F",
0.00,19.00,705018.00,3154.00,1711.00,0.00,853.00,1080.00,2911.00,2507.00,"Markair Inc.","BF","DEN","CVG",6,"617",1,1995,1,2,3,"F",
0.00,2.00,64960.00,238.00,191.00,0.00,30.00,1080.00,283.00,245.00,"Markair Inc.","BF","DEN","CVG",6,"620",1,1995,1,2,3,"F",
